id,checkin,cdate,site_id,user_uuid
2140822,2,2023-12-11 01:40:51.688161,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
2143246,2,2023-12-11 13:20:11.608664,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
2143159,1,2023-12-11 12:14:53.244172,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
2141273,2,2023-12-11 03:43:03.829996,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
2143324,2,2023-12-11 14:30:36.099426,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
2140716,2,2023-12-11 01:00:07.995070,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
2140728,1,2023-12-11 01:05:33.729010,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
2142418,2,2023-12-11 08:09:06.127635,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
2146786,1,2023-12-12 13:58:41.229336,49,5af17ea3-e43a-4b86-a17b-e9d2c3407cc3
1845622,2,2023-08-29 11:27:52.219402,49,b48dbaa0-4ec9-461c-9009-fd395ebddb4f
1845548,1,2023-08-29 10:52:12.892549,49,b48dbaa0-4ec9-461c-9009-fd395ebddb4f
1845554,1,2023-08-29 10:54:35.621048,49,b48dbaa0-4ec9-461c-9009-fd395ebddb4f
1845625,1,2023-08-29 11:29:05.252479,49,b48dbaa0-4ec9-461c-9009-fd395ebddb4f
1845698,2,2023-08-29 12:46:15.582177,49,b48dbaa0-4ec9-461c-9009-fd395ebddb4f
1845551,2,2023-08-29 10:53:41.992026,49,b48dbaa0-4ec9-461c-9009-fd395ebddb4f
2082749,2,2023-11-17 17:13:14.285673,49,a8ae878c-40cb-4fb0-b450-9e7c46b0de3a
2085034,2,2023-11-19 14:09:48.227160,49,a8ae878c-40cb-4fb0-b450-9e7c46b0de3a
2084885,1,2023-11-19 11:33:52.136750,49,a8ae878c-40cb-4fb0-b450-9e7c46b0de3a
2085039,1,2023-11-19 14:15:43.572884,49,a8ae878c-40cb-4fb0-b450-9e7c46b0de3a
2082729,1,2023-11-17 15:09:23.489848,49,a8ae878c-40cb-4fb0-b450-9e7c46b0de3a
1795115,1,2023-08-09 02:57:07.642238,49,dc16d91f-18b1-409d-9b6c-13c28492c0df
1800048,2,2023-08-10 14:12:21.773795,49,dc16d91f-18b1-409d-9b6c-13c28492c0df
1796971,2,2023-08-09 12:38:18.996897,49,dc16d91f-18b1-409d-9b6c-13c28492c0df
1795098,2,2023-08-09 02:53:38.022652,49,dc16d91f-18b1-409d-9b6c-13c28492c0df
1798868,2,2023-08-10 05:29:16.821327,49,dc16d91f-18b1-409d-9b6c-13c28492c0df
1796683,1,2023-08-09 09:35:53.655384,49,dc16d91f-18b1-409d-9b6c-13c28492c0df
1796946,1,2023-08-09 12:12:50.074897,49,dc16d91f-18b1-409d-9b6c-13c28492c0df
1800054,1,2023-08-10 14:18:49.164861,49,dc16d91f-18b1-409d-9b6c-13c28492c0df
1798946,2,2023-08-10 05:48:40.172919,49,dc16d91f-18b1-409d-9b6c-13c28492c0df
1795042,1,2023-08-09 02:35:11.789733,49,dc16d91f-18b1-409d-9b6c-13c28492c0df
1795007,1,2023-08-09 02:24:26.122442,49,dc16d91f-18b1-409d-9b6c-13c28492c0df
1795023,2,2023-08-09 02:30:40.752165,49,dc16d91f-18b1-409d-9b6c-13c28492c0df
1797001,1,2023-08-09 13:16:49.610025,49,dc16d91f-18b1-409d-9b6c-13c28492c0df
1798879,1,2023-08-10 05:32:07.829879,49,dc16d91f-18b1-409d-9b6c-13c28492c0df
1799521,1,2023-08-10 08:19:53.286088,49,dc16d91f-18b1-409d-9b6c-13c28492c0df
